"Id","Class","Label","Direction","Intersection"
"ECM2","gene","ECM2","Down-regulated","CMV_T"
"EIF3L","gene","EIF3L","Down-regulated","CMV_T"
"EIF4EBP1","gene","EIF4EBP1","Down-regulated","CMV_T"
"EIF4G2","gene","EIF4G2","Down-regulated","CMV_T"
"EIF4G3","gene","EIF4G3","Down-regulated","CMV_T"
"ELL2","gene","ELL2","Down-regulated","CMV_T"
"EML3","gene","EML3","Down-regulated","CMV_T"
"EPB41L1","gene","EPB41L1","Down-regulated","CMV_T"
"ERGIC1","gene","ERGIC1","Down-regulated","CMV_T"
"EYA2","gene","EYA2","Down-regulated","CMV_T"
"FABP5","gene","FABP5","Down-regulated","CMV_T"
"FADS1","gene","FADS1","Down-regulated","CMV_T"
"FAM107B","gene","FAM107B","Down-regulated","CMV_T"
"FAM200B","gene","FAM200B","Down-regulated","CMV_T"
"FAM216A","gene","FAM216A","Down-regulated","CMV_T"
"FAM89B","gene","FAM89B","Down-regulated","CMV_T"
"FASN","gene","FASN","Down-regulated","CMV_T"
"FBP1","gene","FBP1","Down-regulated","CMV_T"
"FCHSD2","gene","FCHSD2","Down-regulated","CMV_T"
"FDPS","gene","FDPS","Down-regulated","CMV_T"
"FGD5","gene","FGD5","Down-regulated","CMV_T"
"FGL1","gene","FGL1","Down-regulated","CMV_T"
"FHOD1","gene","FHOD1","Down-regulated","CMV_T"
"FITM2","gene","FITM2","Down-regulated","CMV_T"
"FLNA","gene","FLNA","Down-regulated","CMV_T"
"FLRT2","gene","FLRT2","Down-regulated","CMV_T"
"FOXN3","gene","FOXN3","Down-regulated","CMV_T"
"FSCN1","gene","FSCN1","Down-regulated","CMV_T"
"GABPA","gene","GABPA","Down-regulated","CMV_T"
"GALNT11","gene","GALNT11","Down-regulated","CMV_T"
"GASK1B","gene","GASK1B","Down-regulated","CMV_T"
"GATD1","gene","GATD1","Down-regulated","CMV_T"
"GATM","gene","GATM","Down-regulated","CMV_T"
"GET1","gene","GET1","Down-regulated","CMV_T"
"GGTA1","gene","GGTA1","Down-regulated","CMV_T"
"GLIPR1","gene","GLIPR1","Down-regulated","CMV_T"
"GMCL1","gene","GMCL1","Down-regulated","CMV_T"
"GNAQ","gene","GNAQ","Down-regulated","CMV_T"
"GPR157","gene","GPR157","Down-regulated","CMV_T"
"GPR34","Placenta_179","GPR34","Down-regulated","CMV_T"
"GPRC5B","gene","GPRC5B","Down-regulated","CMV_T"
"GPRIN3","gene","GPRIN3","Down-regulated","CMV_T"
"GPX3","gene","GPX3","Down-regulated","CMV_T"
"GRAMD4","gene","GRAMD4","Down-regulated","CMV_T"
"GRIN2C","gene","GRIN2C","Down-regulated","CMV_T"
"GSN","gene","GSN","Down-regulated","CMV_T"
"H2AZ1","gene","H2AZ1","Down-regulated","CMV_T"
"H2AZ2","gene","H2AZ2","Down-regulated","CMV_T"
"H3-3A","gene","H3-3A","Down-regulated","CMV_T"
"HACD3","gene","HACD3","Down-regulated","CMV_T"
"HCFC1R1","gene","HCFC1R1","Down-regulated","CMV_T"
"HDAC4","gene","HDAC4","Down-regulated","CMV_T"
"HHEX","gene","HHEX","Down-regulated","CMV_T"
