Symbol,log2FoldChange,padj,Direction,Comparison,ndeg,ddeg,idx,degvcount,virus.x,gestation.x,signcon,randomSummary,randomP,rank,virus.y,gestation.y,Shared_2,Shared
DNAH6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6,-3.07257464261353,0.00455467163049059,960,HIV,Term,FALSE,FALSE
DNASE1L3,-7.1859527515401,0.00886549050601203,Downregulated,HIV_T_vs_NT_T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
DNER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6,-2.12210815595295,0.00513253109937622,1000,HIV,Term,FALSE,FALSE
DOC2B,-6.57125562639861,0.000331230968602666,Downregulated,HIV_T_vs_NT_T,NA,NA,NA,NA,NA,NA,-1,-20.9537732141854,1.25911660334134E-05,232,HIV,Term,FALSE,FALSE
DOCK9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4,-6.30849948084635,0.0000784434235088998,299,HIV,Term,FALSE,FALSE
DOK4,-3.3600364236794,0.027502109321109,Downregulated,HIV_T_vs_NT_T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
DOK6,-7.10943870866334,0.00344979704644836,Downregulated,HIV_T_vs_NT_T,NA,NA,NA,NA,NA,NA,-2,-21.4977629875345,1.19431716197438E-08,155,HIV,Term,FALSE,FALSE
DPP10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6,-4.42518597785502,0.0424199311001104,2592,HIV,Term,FALSE,FALSE
DPT,-6.48730130423775,0.000645030680751744,Downregulated,HIV_T_vs_NT_T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
DPY19L2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-5.80983312383945,0.0226514124148855,1910,HIV,Term,FALSE,FALSE
DPYSL3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4,-2.58597709996903,0.00178095302938084,632,HIV,Term,FALSE,FALSE
DRD1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-5.62917873607495,0.0451875248426673,2666,HIV,Term,FALSE,FALSE
DSC3,-4.70306252828959,0.00807351651626698,Downregulated,HIV_T_vs_NT_T,NA,NA,NA,NA,NA,NA,-1,-8.82017586110236,0.0151924987951772,1599,HIV,Term,FALSE,FALSE
DSCAM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6,-3.45607640345076,0.0211573157262853,1844,HIV,Term,FALSE,FALSE
DSG2,-3.79788224197173,0.0155309326380086,Downregulated,HIV_T_vs_NT_T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
DSP,-5.13036046296329,0.00145416200695472,Downregulated,HIV_T_vs_NT_T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
DST,-3.10836743468288,0.0406964879730153,Downregulated,HIV_T_vs_NT_T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
DTX3,-5.88809294345251,0.0071570153639606,Downregulated,HIV_T_vs_NT_T,NA,NA,NA,NA,NA,NA,-2,-22.0051876236914,5.3742478090526E-09,141,HIV,Term,FALSE,FALSE
DUOX1,-4.93586001627513,0.029545584517224,Downregulated,HIV_T_vs_NT_T,NA,NA,NA,NA,NA,NA,-3,-7.96189913776091,0.00151429415507221,514,HIV,Term,FALSE,FALSE
DUOX2,-5.60554704108224,0.0450480627866606,Downregulated,HIV_T_vs_NT_T,NA,NA,NA,NA,NA,NA,-5,-6.06275486861573,0.00540452491694876,1026,HIV,Term,FALSE,FALSE
DUOXA1,-5.20778880842478,0.0295827503790899,Downregulated,HIV_T_vs_NT_T,NA,NA,NA,NA,NA,NA,-4,-7.06403357800008,0.00109263208155643,436,HIV,Term,FALSE,FALSE
DUSP1,-3.40518769302705,0.00462877871336497,Downregulated,HIV_T_vs_NT_T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
DUSP19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6,-2.1107851130261,0.0160793881260439,1640,HIV,Term,FALSE,FALSE
DUSP8,-2.53015004905238,0.0144654577142988,Downregulated,HIV_T_vs_NT_T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
DUSP9,-6.92567360717564,0.00200520208964441,Downregulated,HIV_T_vs_NT_T,NA,NA,NA,NA,NA,NA,-2,-21.390394068731,1.41111638784497E-08,162,HIV,Term,FALSE,FALSE
